ID	TILLAGE_TYPE	FERTILIZATION	Bms	TREATMENT	PLOT	SAMPLE	LOCATION	REPLICATE	ABA	CK	GA	IAA	JA	SA
228	CT	Extensive	Ctrl	Ext-Ctrl	central	hormone	shoot	4	73.02	33.97	61.44	22.29	11.33	11.174
229	CT	Extensive	BMc	Ext-BMc	central	hormone	shoot	1	25.24	77.1	85.9	50.6	4.65	9.32
230	CT	Extensive	BMc	Ext-BMc	central	hormone	shoot	2	31.22	72.34	112.11	40.91	6.13	9.698
231	CT	Extensive	BMc	Ext-BMc	central	hormone	shoot	3	33.28	80.99	68.48	40.32	6.08	12.054
232	CT	Extensive	BMc	Ext-BMc	central	hormone	shoot	4	31.21	57.6	78.22	37.8	6.47	9.216
321	CT	Intensive	Ctrl	Int-Ctrl	central	hormone	shoot	1	91.5	25.83	54.5	17.77	10.37	9.77
322	CT	Intensive	Ctrl	Int-Ctrl	central	hormone	shoot	2	79.47	30.37	56.71	20.9	7.04	11.163
323	CT	Intensive	Ctrl	Int-Ctrl	central	hormone	shoot	3	87.82	30.84	52.94	21.3	7.12	11.068
324	CT	Intensive	Ctrl	Int-Ctrl	central	hormone	shoot	4	71.35	30.92	53.89	21.27	9.64	10.628
325	CT	Intensive	BMc	Int-BMc	central	hormone	shoot	1	24.66	70.17	75.34	48.29	3.69	8.864
326	CT	Intensive	BMc	Int-BMc	central	hormone	shoot	2	30.51	56.47	98.33	39.04	5.22	9.224
327	CT	Intensive	BMc	Int-BMc	central	hormone	shoot	3	32.52	55.51	60.06	38.48	5.17	10.611
328	CT	Intensive	BMc	Int-BMc	central	hormone	shoot	4	30.5	52.42	68.61	36.08	5.51	9.765
233	CT	Extensive	Ctrl	Ext-Ctrl	RW	hormone	shoot	1	70.62	24	75.69	19.35	17.9	10.096
234	CT	Extensive	Ctrl	Ext-Ctrl	RW	hormone	shoot	2	86.11	29.49	89.63	18.12	12.08	11.444
235	CT	Extensive	Ctrl	Ext-Ctrl	RW	hormone	shoot	3	76.48	27.61	112.15	17.97	16.68	11.355
236	CT	Extensive	Ctrl	Ext-Ctrl	RW	hormone	shoot	4	83.93	27.34	102.36	24.21	15.34	11.528
237	CT	Extensive	BMc	Ext-BMc	RW	hormone	shoot	1	22.84	97.84	61.45	49.65	4.53	9.218
238	CT	Extensive	BMc	Ext-BMc	RW	hormone	shoot	2	28.86	75.66	64.6	58.65	4.79	10.69
239	CT	Extensive	BMc	Ext-BMc	RW	hormone	shoot	3	30.88	69.08	59.1	52.11	6.89	11.42
240	CT	Extensive	BMc	Ext-BMc	RW	hormone	shoot	4	28.6	59.26	60.19	53.18	6.23	9.035
329	CT	Intensive	Ctrl	Int-Ctrl	RW	hormone	shoot	1	69.01	21.84	53.9	18.47	15.23	9.602
330	CT	Intensive	Ctrl	Int-Ctrl	RW	hormone	shoot	2	84.14	26.85	56.66	17.29	10.28	10.885
331	CT	Intensive	Ctrl	Int-Ctrl	RW	hormone	shoot	3	74.73	25.13	51.84	17.15	14.19	10.936
332	CT	Intensive	Ctrl	Int-Ctrl	RW	hormone	shoot	4	82.11	24.88	52.79	61.28	13.05	11.112
333	CT	Intensive	BMc	Int-BMc	RW	hormone	shoot	1	22.23	89.05	66.39	47.39	3.85	8.749
334	CT	Intensive	BMc	Int-BMc	RW	hormone	shoot	2	28.2	68.95	66.61	55.98	4.08	9.216
335	CT	Intensive	BMc	Int-BMc	RW	hormone	shoot	3	30.17	81.09	98.3	49.73	5.86	10.956
336	CT	Intensive	BMc	Int-BMc	RW	hormone	shoot	4	27.95	72.014	59.78	50.76	5.3	9.496
