"OTU","padj","coeff","N-Fertilization_Intensity","sdt","Treatment","mean","p-value_corrected_(BH)"
"Basidiomycota;Ustilaginomycetes","p>0.05",-3.47,"Int",0.17675513130190343,"Ctrl",0.403,0.535785434894448
"Basidiomycota;Ustilaginomycetes","p>0.05",-3.47,"Int",0.17271290007106305,"BMc",0.321,0.535785434894448
"Chytridiomycota;Spizellomycetes","p>0.05",8.01,"Int",0.09267723454691096,"Ctrl",0.266,0.5893942009259562
"Chytridiomycota;Spizellomycetes","p>0.05",8.01,"Int",0.022796526016467707,"BMc",0.294,0.5893942009259562
"Fungi_phy_Incertae_sedis;Fungi_cls_Incertae_sedis","p>0.05",0.48,"Int",0.5874511520212867,"Ctrl",1.878,0.6413083249510303
"Fungi_phy_Incertae_sedis;Fungi_cls_Incertae_sedis","p>0.05",0.48,"Int",1.300032249531024,"BMc",2.233,0.6413083249510303
"Glomeromycota;Glomeromycetes","p>0.05",11.73,"Int",0.11098703888722797,"Ctrl",0.085,0.15676661115691953
"Glomeromycota;Glomeromycetes","p>0.05",11.73,"Int",0.1311420305304892,"BMc",0.237,0.15676661115691953
"Mortierellomycota;Mortierellomycetes","p>0.05",0.28,"Int",1.9329567454576626,"Ctrl",4.412,0.5001173756524855
"Mortierellomycota;Mortierellomycetes","p>0.05",0.28,"Int",2.8362438159486514,"BMc",5.722,0.5001173756524855
"Mucoromycota;Mucoromycetes","p>0.05",3.11,"Int",0.64542390889365,"Ctrl",2.117,0.0581779523872262
"Mucoromycota;Mucoromycetes","p>0.05",3.11,"Int",1.7949442379634992,"BMc",4.133,0.0581779523872262
