Taxa,coeff,p,padj,Treatment,Mean_Ctrl,Mean_BMc,Sd_Ctrl,Sd_BMc,Taxonomic_Level,N-Fertilization-Intensity
Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;RB41;ASV2846,6802.29,8.67778758863214e-4,0.012351104518122014,Intensive,0,0.012276224633057643,0,0.003624157240371563,ASV,Intensive
Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Intrasporangium;ASV331,263734.3,8.677788304001142e-4,0.012351104518122014,Intensive,0.04288473975338647,0.11220756142161109,0.03450156559340034,0.029051752292797866,ASV,Intensive
Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces;ASV3,312.09,8.677787588050536e-4,0.012351104518122014,Intensive,0.7046423972359536,1.084302411745916,0.06429833950380655,0.1305857090081395,ASV,Intensive
Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;ASV338,2723.33,0.00086777875889948355,0.012351104518122014,Intensive,0.0538452910435057,0.10973101053035567,0.03677881852902866,0.011299003536799381,ASV,Intensive
Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Unclassified_Microbacteriaceae;ASV247,1719.91,8.677787588475969e-4,0.012351104518122014,Intensive,0.07843933235225449,0.14764690723531093,0.05259219292668435,0.006620996074115645,ASV,Intensive
Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Paenarthrobacter;ASV994,10452.8,8.677787593089134e-4,0.012351104518122014,Intensive,0.029948154252488247,0.067063897420924,0.011056678524400974,0.01292172249331166,ASV,Intensive
Actinobacteriota;Actinobacteria;Micrococcales;Promicromonosporaceae;Promicromonospora;ASV81,1023.65,8.677787588473642e-4,0.012351104518122014,Intensive,0.16881110751989414,0.2867375872804823,0.026074738297453916,0.09035173485052514,ASV,Intensive
Actinobacteriota;Actinobacteria;Micromonosporales;Micromonosporaceae;Catellatospora;ASV165,-3854.54,8.67778758840871e-4,0.012351104518122014,Intensive,0.27027295838816556,0.23606607286532766,0.00832172249715899,0.016827148632503088,ASV,Intensive
Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Actinopolymorpha;ASV1319,-3439.82,8.677787589566116e-4,0.012351104518122014,Intensive,0.041208154552141905,0.01211623559947708,0.010966915116464832,0.008345296376179404,ASV,Intensive
Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Kribbella;ASV134,-687.62,8.677787588043995e-4,0.012351104518122014,Intensive,0.24564221374237422,0.0819582428421587,0.0518667596076067,0.056243966017688565,ASV,Intensive
Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Kribbella;ASV327,-654.94,8.677787589018428e-4,0.012351104518122014,Intensive,0.15890538143491043,0.014631801174724608,0.039762275846229406,0.029263602349449216,ASV,Intensive
Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Kribbella;ASV372,-1272.72,8.677787589607073e-4,0.012351104518122014,Intensive,0.21218339502431416,0.056472985003066266,0.052796906142246205,0.0671188287132208,ASV,Intensive
Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;ASV192,-678.37,8.677787588209352e-4,0.012351104518122014,Intensive,0.2833400416381303,0.17665019355312017,0.011511034188081422,0.021315900468048946,ASV,Intensive
Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;ASV252,-6828.07,8.677787596345433e-4,0.012351104518122014,Intensive,0.23679575866954983,0.15930761928424733,0.02873609351336092,0.03400749570958716,ASV,Intensive
Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;ASV383,-854.58,8.677787588309853e-4,0.012351104518122014,Intensive,0.21869362590011587,0.131746876312967,0.011900497486635334,0.01898862818659565,ASV,Intensive
Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;ASV475,-4604.18,8.677787588623646e-4,0.012351104518122014,Intensive,0.11368212274830376,0.08346452469258821,0.01655848790200576,0.00869705369901529,ASV,Intensive
Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;ASV573,-48932.76,8.677787757860181e-4,0.012351104518122014,Intensive,0.127819678937474,0.0753858274338276,0.03170362029736361,0.006955637091301798,ASV,Intensive
Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Unclassified_Nocardioidaceae;ASV668,-177264.66,8.677788267628814e-4,0.012351104518122014,Intensive,0.09483230366336992,0.056688617515152626,0.024716326039389523,0.0378103229350944,ASV,Intensive
Actinobacteriota;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces;ASV1054,-6392.28,8.677787588609343e-4,0.012351104518122014,Intensive,0.0790606093219615,0.056633261878206595,0.01077549008833281,0.007083240417480903,ASV,Intensive
Actinobacteriota;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces;ASV25,-1072.81,8.67778759030865e-4,0.012351104518122014,Intensive,0.8044057283200567,0.5483178518350613,0.06102108734357572,0.08308690099434486,ASV,Intensive
Actinobacteriota;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces;ASV255,-2611.68,8.677787590416586e-4,0.012351104518122014,Intensive,0.16938147901920278,0.09524524699976679,0.017066475385064214,0.06398352359061511,ASV,Intensive
Actinobacteriota;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces;ASV27,-168.29,8.677787588910658e-4,0.012351104518122014,Intensive,1.0394433652915784,0.5280801497876805,0.19325477081046377,0.047771497429234484,ASV,Intensive
Actinobacteriota;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces;ASV58,-915.56,8.677787588288804e-4,0.012351104518122014,Intensive,0.45427552042795477,0.3209931467474042,0.06553495409387736,0.04333305774026218,ASV,Intensive
Actinobacteriota;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces;ASV78,-2319.93,8.677787589414363e-4,0.012351104518122014,Intensive,0.38380590416496685,0.305652016588661,0.04629392070290089,0.013267984636919623,ASV,Intensive
Actinobacteriota;Actinobacteria;Streptomycetales;Streptomycetaceae;Unclassified_Streptomycetaceae;ASV149,-384.84,8.677787589552762e-4,0.012351104518122014,Intensive,0.2356983519678012,0.07909212779873209,0.019186431042685737,0.019519798099486573,ASV,Intensive
Actinobacteriota;Actinobacteria;Streptomycetales;Streptomycetaceae;Unclassified_Streptomycetaceae;ASV820,-5459.81,8.67778759140422e-4,0.012351104518122014,Intensive,0.07791466572680009,0.030000899092671687,0.02615460525590755,0.02021494581119132,ASV,Intensive
Actinobacteriota;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter;ASV112,-1084.41,8.677787588069438e-4,0.012351104518122014,Intensive,0.2891531015580751,0.1891218324085114,0.05156986463927097,0.021263991152809802,ASV,Intensive
Actinobacteriota;Thermoleophilia;Gaiellales;Gaiellaceae;Gaiella;ASV148,3001.1,8.677787589734221e-4,0.012351104518122014,Intensive,0.17157230667791085,0.24150953089462943,0.015727313548974452,0.030904249644022896,ASV,Intensive
Actinobacteriota;Thermoleophilia;Gaiellales;Gaiellaceae;Gaiella;ASV155,466.32,8.677787589248158e-4,0.012351104518122014,Intensive,0.068656323688412485,0.18996400973637864,0.005743147836083104,0.015603286535333603,ASV,Intensive
Actinobacteriota;Thermoleophilia;Gaiellales;Gaiellaceae;Gaiella;ASV2274,-6864.27,8.67778758872778e-4,0.012351104518122014,Intensive,0.02769826287925968,0.0031583885602569787,0.008087622195319959,0.005001737188095512,ASV,Intensive
Actinobacteriota;Thermoleophilia;Gaiellales;Gaiellaceae;Gaiella;ASV329,1730.85,8.677787589310036e-4,0.012351104518122014,Intensive,0.04867229827407002,0.10638326811361232,0.009872019616601103,0.018310917451940533,ASV,Intensive
Actinobacteriota;Thermoleophilia;Gaiellales;Gaiellaceae;Gaiella;ASV556,1613.37,8.677787588693171e-4,0.012351104518122014,Intensive,0.0359423968982099,0.08838969449922812,0.01136318879813223,0.011543321157671422,ASV,Intensive
Actinobacteriota;Thermoleophilia;Gaiellales;Gaiellaceae;Gaiella;ASV571,7155.25,8.677787594882178e-4,0.012351104518122014,Intensive,0.028560338229638577,0.08213790781552083,0.03346377483757487,0.013184358475829784,ASV,Intensive
Actinobacteriota;Thermoleophilia;Solirubrobacterales;67-14;Unclassified_67-14;ASV531,-3399.93,8.677787587985686e-4,0.012351104518122014,Intensive,0.1010815991354238,0.06555696491303183,0.009306187864049449,0.0068020308178530844,ASV,Intensive
Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Solirubrobacter;ASV590,-12536.21,8.677787594294002e-4,0.012351104518122014,Intensive,0.08210502653301163,0.05553099881484747,0.020602253507836312,0.004127038994033735,ASV,Intensive
Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Solirubrobacter;ASV686,55834.22,8.677787602324246e-4,0.012351104518122014,Intensive,0.04036235610270156,0.049650346955643306,0.005807612839342034,0.0013173617722235143,ASV,Intensive
Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Chitinophaga;ASV831,11378.16,8.677787593550178e-4,0.012351104518122014,Intensive,0.014771688460694394,0.044619680479140625,0.017064432829506745,0.01252443016594129,ASV,Intensive
Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Flavisolibacter;ASV2259,108183.91,8.677787759647639e-4,0.012351104518122014,Intensive,0.007230372824315086,0.032338807353712265,0.014460745648630173,0.0038145618641515612,ASV,Intensive
Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Terrimonas;ASV1826,15107.16,8.677787588294834e-4,0.012351104518122014,Intensive,0.0013146132407845612,0.010230737469827916,0.0026292264815691224,0.0030199099160985988,ASV,Intensive
Bacteroidota;Bacteroidia;Cytophagales;Microscillaceae;Ohtaekwangia;ASV1702,18470.75,8.677787606668395e-4,0.012351104518122014,Intensive,0.006270903010033445,0.04289785761473292,0.01254180602006689,0.021940300873208873,ASV,Intensive
Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Arcticibacter;ASV1227,3370.23,8.67778758917774e-4,0.012351104518122014,Intensive,0.022882725404633236,0.07069368136088992,0.015436926036394363,0.029688406178194633,ASV,Intensive
Chloroflexi;Chloroflexia;Thermomicrobiales;AKYG1722;Unclassified_AKYG1722;ASV266,741.19,8.67778758812742e-4,0.012351104518122014,Intensive,0.03343861278637917,0.12856322220237848,0.0087711491822399,0.01433550119004029,ASV,Intensive
Chloroflexi;Chloroflexia;Thermomicrobiales;AKYG1722;Unclassified_AKYG1722;ASV964,3020.68,8.677787589225575e-4,0.012351104518122014,Intensive,0.0032319924155911313,0.03645176184913795,0.006463984831182263,0.009359212161793853,ASV,Intensive
Chloroflexi;Chloroflexia;Thermomicrobiales;JG30-KF-CM45;Unclassified_JG30-KF-CM45;ASV101,273.44,8.677787589137575e-4,0.012351104518122014,Intensive,0.05850058795649897,0.2610126691216516,0.0023271869374318645,0.027649544059805572,ASV,Intensive
Chloroflexi;Chloroflexia;Thermomicrobiales;JG30-KF-CM45;Unclassified_JG30-KF-CM45;ASV1081,1204.57,8.677787588805093e-4,0.012351104518122014,Intensive,0,0.04308344331291117,0,0.0035087101215583363,ASV,Intensive
Chloroflexi;Chloroflexia;Thermomicrobiales;JG30-KF-CM45;Unclassified_JG30-KF-CM45;ASV1772,2250.3,8.677787588956707e-4,0.012351104518122014,Intensive,0,0.023681540092422397,0,0.0026338807712125616,ASV,Intensive
Chloroflexi;Chloroflexia;Thermomicrobiales;JG30-KF-CM45;Unclassified_JG30-KF-CM45;ASV187,2227.28,8.67778758960518e-4,0.012351104518122014,Intensive,0.06569020279037732,0.16542826649017991,0.033768521477797075,0.02387368430581724,ASV,Intensive
Chloroflexi;Chloroflexia;Thermomicrobiales;JG30-KF-CM45;Unclassified_JG30-KF-CM45;ASV1935,3692.79,8.677787589324508e-4,0.012351104518122014,Intensive,0.0032865331019614028,0.032431129953485835,0.0065730662039228055,0.004695332844458116,ASV,Intensive
Chloroflexi;Chloroflexia;Thermomicrobiales;JG30-KF-CM45;Unclassified_JG30-KF-CM45;ASV365,1482.22,8.677787588632914e-4,0.012351104518122014,Intensive,0.024882523034872702,0.12331469221079029,0.018655586879536088,0.044461434680093635,ASV,Intensive
Chloroflexi;Chloroflexia;Thermomicrobiales;JG30-KF-CM45;Unclassified_JG30-KF-CM45;ASV38,198.18,8.67778758819065e-4,0.012351104518122014,Intensive,0.0857733869982966,0.4408492747090078,0.05905992917870295,0.06332464289179297,ASV,Intensive
Chloroflexi;Chloroflexia;Thermomicrobiales;JG30-KF-CM45;Unclassified_JG30-KF-CM45;ASV417,3647.85,8.677787589889101e-4,0.012351104518122014,Intensive,0.04414276051512056,0.09640628993394801,0.0340738504053508,0.01163944340368553,ASV,Intensive
Chloroflexi;Chloroflexia;Thermomicrobiales;JG30-KF-CM45;Unclassified_JG30-KF-CM45;ASV458,879.94,8.677787588116506e-4,0.012351104518122014,Intensive,0.01275097799297811,0.09010455307101083,0.014865355226965478,0.010984861507877438,ASV,Intensive
Chloroflexi;Chloroflexia;Thermomicrobiales;JG30-KF-CM45;Unclassified_JG30-KF-CM45;ASV611,1255.82,8.677787588396703e-4,0.012351104518122014,Intensive,0,0.05832412389339815,0,0.01921161205352737,ASV,Intensive
Chloroflexi;Chloroflexia;Thermomicrobiales;JG30-KF-CM45;Unclassified_JG30-KF-CM45;ASV706,1734.58,8.677787588479613e-4,0.012351104518122014,Intensive,0,0.04498555742690809,0,0.01325732512972694,ASV,Intensive
Chloroflexi;Chloroflexia;Thermomicrobiales;JG30-KF-CM45;Unclassified_JG30-KF-CM45;ASV873,3156.82,8.677787588542304e-4,0.012351104518122014,Intensive,0.008009266104785844,0.05745868521220651,0.01601853220957169,0.009012547559010186,ASV,Intensive
Chloroflexi;Chloroflexia;Thermomicrobiales;JG30-KF-CM45;Unclassified_JG30-KF-CM45;ASV899,5712.56,8.677787589928716e-4,0.012351104518122014,Intensive,0.009238102362194849,0.04981819201800886,0.010715097543781775,0.01524440472433999,ASV,Intensive
Chloroflexi;Chloroflexia;Thermomicrobiales;JG30-KF-CM45;Unclassified_JG30-KF-CM45;ASV909,2640.44,8.677787588391618e-4,0.012351104518122014,Intensive,0.009695977246773395,0.06368292711718133,0.01939195449354679,0.007181909743887658,ASV,Intensive
Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;ASV83,2378.81,8.677787592150213e-4,0.012351104518122014,Intensive,0.4143572941511819,0.52891973059501,0.06043706921210502,0.06857732532599727,ASV,Intensive
Firmicutes;Bacilli;Bacillales;Bacillaceae;Unclassified_Bacillaceae;ASV418,-189909.86,8.677788126645373e-4,0.012351104518122014,Intensive,0.12344340019616883,0.09181711290337359,0.013663092741447986,0.027574292510537366,ASV,Intensive
Firmicutes;Bacilli;Bacillales;Bacillaceae;Unclassified_Bacillaceae;ASV82,-89416.43,8.677788064627573e-4,0.012351104518122014,Intensive,0.42135527029680264,0.3168027216752517,0.056143357562177656,0.036061815794254264,ASV,Intensive
Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Unclassified_Gemmatimonadaceae;ASV103,-1216.06,8.677787588527577e-4,0.012351104518122014,Intensive,0.2966956583960827,0.17412383536237097,0.04621470156670328,0.012842699917626581,ASV,Intensive
Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Unclassified_Gemmatimonadaceae;ASV126,-860.21,8.677787588420555e-4,0.012351104518122014,Intensive,0.2621904098177328,0.1790417341433553,0.0062444916167181536,0.030245879876597194,ASV,Intensive
Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Unclassified_Gemmatimonadaceae;ASV362,-1626.18,8.677787588992821e-4,0.012351104518122014,Intensive,0.130381108550491,0.017533606078316773,0.039888901365330486,0.03506721215663355,ASV,Intensive
Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Unclassified_Gemmatimonadaceae;ASV54,-1677.02,8.677787589343353e-4,0.012351104518122014,Intensive,0.39931121903749267,0.29480991195060036,0.05958525687448521,0.02306737374065153,ASV,Intensive
Nitrospirota;Nitrospiria;Nitrospirales;Nitrospiraceae;Nitrospira;ASV97,-1658.35,8.677787589258956e-4,0.012351104518122014,Intensive,0.2741318121236314,0.21601472567208835,0.018569168218869822,0.013712391083239727,ASV,Intensive
Proteobacteria;Alphaproteobacteria;Dongiales;Dongiaceae;Dongia;ASV928,6365.76,8.677787589427376e-4,0.012351104518122014,Intensive,0.013478915451503062,0.04437592837620147,0.00924116506891214,0.01139357340190178,ASV,Intensive
Proteobacteria;Alphaproteobacteria;Micropepsales;Micropepsaceae;Unclassified_Micropepsaceae;ASV434,25071.49,8.677787598517292e-4,0.012351104518122014,Intensive,0.05796399731611562,0.08715969583796017,0.009645154432468607,0.009838360291484853,ASV,Intensive
Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Microvirga;ASV402,3673.56,8.677787589532608e-4,0.012351104518122014,Intensive,0.08133312115366165,0.13769046156780337,0.02079103769792574,0.01598333490106661,ASV,Intensive
Proteobacteria;Alphaproteobacteria;Rhizobiales;Devosiaceae;Devosia;ASV1069,43614.01,8.677787658264918e-4,0.012351104518122014,Intensive,0.03703183211038014,0.06976546173526314,0.02524587887308354,0.01712559202745824,ASV,Intensive
Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium;ASV1528,2562.32,8.677787589223361e-4,0.012351104518122014,Intensive,0.004309323220788175,0.04454725924508013,0.00861864644157635,0.008103675422848677,ASV,Intensive
Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Mesorhizobium;ASV1103,-12182.32,8.677787597799774e-4,0.012351104518122014,Intensive,0.04861930142905335,0.010622477161674103,0.00267738618635566,0.021244954323348206,ASV,Intensive
Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Neorhizobium;ASV685,-6298.13,8.677787588619937e-4,0.012351104518122014,Intensive,0.08255224455598562,0.06029121217188775,0.013502882395304056,0.004496865000094553,ASV,Intensive
Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Phyllobacterium;ASV34,-499.09,8.677787588850414e-4,0.012351104518122014,Intensive,0.8208164705362548,0.5277096826814743,0.18188070565182882,0.05344658448973364,ASV,Intensive
Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Unclassified_Rhizobiaceae;ASV137,-61610.05,8.677787799268583e-4,0.012351104518122014,Intensive,0.3145490760539237,0.24368380046228189,0.028700734068348988,0.031831836112910745,ASV,Intensive
Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Unclassified_Rhizobiaceae;ASV1664,2248.45,8.677787589007588e-4,0.012351104518122014,Intensive,0,0.03787070132597891,0,0.01635658286697434,ASV,Intensive
Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales_Incertae_Sedis;Bauldia;ASV1484,5166.41,8.677787591544955e-4,0.012351104518122014,Intensive,0.007316053511705686,0.06689318550787124,0.014632107023411372,0.025512521276698008,ASV,Intensive
Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales_Incertae_Sedis;Nordella;ASV125,-1283.53,8.677787588836848e-4,0.012351104518122014,Intensive,0.18834558007342134,0.12132069291916872,0.010008556665427881,0.02187789599877068,ASV,Intensive
Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Unclassified_Xanthobacteraceae;ASV1467,1741.24,8.677787588982612e-4,0.012351104518122014,Intensive,0,0.03087766741854365,0,0.0033158089324348745,ASV,Intensive
Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;ASV1005,-528.86,8.677787587998949e-4,0.012351104518122014,Intensive,0.12435896957328163,0,0.023161768288066764,0,ASV,Intensive
Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;ASV460,-10673.12,8.677787593350451e-4,0.012351104518122014,Intensive,0.14642478721802918,0.11902319677391925,0.006887619551787802,0.022137445058277163,ASV,Intensive
Proteobacteria;Alphaproteobacteria;Tistrellales;Geminicoccaceae;Unclassified_Geminicoccaceae;ASV405,6486.31,8.677787588230552e-4,0.012351104518122014,Intensive,0.08422357244663914,0.10294441375690375,0.0071625536399736,0.007034244479865645,ASV,Intensive
Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;ASV299,4880.94,8.677787592789205e-4,0.012351104518122014,Intensive,0.07797803197578275,0.1381979151133455,0.019349517771848426,0.04252599006875347,ASV,Intensive
Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Ramlibacter;ASV987,9573.47,8.677787590276812e-4,0.012351104518122014,Intensive,0.035200336984543425,0.05641395332546843,0.005518612704514693,0.015437820546036487,ASV,Intensive
Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;Ellin6067;ASV1999,999571.41,8.677788185235636e-4,0.012351104518122014,Intensive,0.0027999205378600295,0.011919213948735732,0.0032791700328330254,0.004498356348069298,ASV,Intensive
Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Arenimonas;ASV1337,26055.66,8.677787598796303e-4,0.012351104518122014,Intensive,0.010634873982786184,0.03234137704282983,0.008410137286573395,0.008586639923338435,ASV,Intensive
Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Arenimonas;ASV3464,18759.03,8.677787587983304e-4,0.012351104518122014,Intensive,5.386654025985219e-4,0.006954347718552463,0.0010773308051970438,0.0017906825146774051,ASV,Intensive
Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter;ASV839,-6046.62,8.677787588005241e-4,0.012351104518122014,Intensive,0.045259638871476826,0.026278158787331682,0.00308060409680674,0.006772269755247425,ASV,Intensive
Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;ASV563,-2035.65,8.677787588312097e-4,0.012351104518122014,Intensive,0.07105774789586546,0.011050886654778179,0.03296817284274862,0.012990571641918382,ASV,Intensive
Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Luteolibacter;ASV1997,-39406.83,8.677787604405186e-4,0.012351104518122014,Intensive,0.02236875522272148,0.00982039710764582,0.01303458495562646,0.003275988388852174,ASV,Intensive
Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Luteolibacter;ASV3626,-17257.31,8.677787592231066e-4,0.012351104518122014,Intensive,0.013527632731592527,0,0.014253263591890148,0,ASV,Intensive
Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Unclassified_Vicinamibacteraceae;ASV387,17597.24,8.677787618876939e-4,0.015834284580080314,Extensive,0.06978059407013257,0.13711282469840985,0.04838164773964119,0.015936367995059396,ASV,Extensive
Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Unclassified_Vicinamibacteraceae;ASV392,49642.47,8.677787632675721e-4,0.015834284580080314,Extensive,0.06802907101347741,0.09319374833379347,0.01160882798326437,0.018782066628326582,ASV,Extensive
Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Unclassified_Ilumatobacteraceae;ASV1248,-6421.33,8.677787591496757e-4,0.015834284580080314,Extensive,0.04837259527791557,0.00623014142421033,0.02346640678044687,0.01246028284842066,ASV,Extensive
Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces;ASV3,-337.85,8.677787588402641e-4,0.015834284580080314,Extensive,1.1735998507741023,0.9499160196248971,0.06055541701073074,0.03357892539098027,ASV,Extensive
