Row.names	RH_CT_Ext_Ctrl1	RH_CT_Ext_Ctrl2	RH_CT_Ext_Ctrl3	RH_CT_Ext_Ctrl4	RH_CT_Ext_BM1	RH_CT_Ext_BM2	RH_CT_Ext_BM3	RH_CT_Ext_BM4	logFC	logCPM	LR	PValue	FDR	rownames(sub_RH)	phylum	class	order	family	genus	species	its2_tax_heat	Ext_Ctrl	Ext_Ctrl.std	Ext_BM
14	SH0903515.09FU_Betamyces	0	0.000918636376163223	0	0	0.0127032520325203	0.00418979784225411	0.0199868087062539	0.00100553041729512	5.07448315734143	6.1298267947076	9.20875915608417	0.00240859893394672	0.0131144564354573	SH0903515.09FU_Betamyces	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Alphamycetaceae	Betamyces	s__Betamyces_sp	SH0903515.09FU_Betamyces	0.000229659094040806	0.000459318188081612	0.00947134724958086
15	SH0903997.09FU_Paraglomus	0.0646235677180424	0.115748183396566	0.0626238604835513	0.136303853971544	0.0105860433604336	0	0	0.00402212166918049	-4.38914671386083	8.91289515779301	13.5576653752369	0.000231344673345871	0.00188266699688364	SH0903997.09FU_Paraglomus	Glomeromycota	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	s__Paraglomus_sp	SH0903997.09FU_Paraglomus	0.0948248663924258	0.0370014181179003	0.00365204125740352
16	SH0905751.09FU_Coniochaeta	0	0	0.000792707094728498	0	0.0412855691056911	0.00104744946056353	0	0.0201106083459025	5.8240536173505	6.72669587391673	9.18125121682602	0.00244506814898357	0.0131144564354573	SH0905751.09FU_Coniochaeta	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	s__Coniochaeta_sp	SH0905751.09FU_Coniochaeta	0.000198176773682124	0.000396353547364249	0.0156109067280393
17	SH0906670.09FU_Sclerostagonospora	0.00165701455687288	0.0192913638994277	0.000792707094728498	0.00478259136742258	0.205369241192412	1.3239761181523	0.287810045370056	0.735042735042735	6.84413156984397	11.7599662809793	41.2982742619802	1.30684216696912e-10	1.02804917134904e-08	SH0906670.09FU_Sclerostagonospora	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Sclerostagonospora	s__Sclerostagonospora_sp	SH0906670.09FU_Sclerostagonospora	0.00663091922961291	0.00861254170283096	0.638049534939375
18	SH0906750.09FU_Sclerostagonospora	0.0231982037962204	0.0339895459180393	0.0166468489892985	0.0286955482045355	2.07063008130081	1.2234209699382	1.62692622868907	1.64504776269482	6.19688893040714	13.1345941604149	106.254048549551	6.48632184922005e-25	4.59231586924779e-22	SH0906750.09FU_Sclerostagonospora	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Sclerostagonospora	s__Sclerostagonospora_sp	SH0906750.09FU_Sclerostagonospora	0.0256325367270234	0.00743617739765056	1.64150626065573
19	SH0907557.09FU_Filobasidium	0.0173986528471653	0.00734909100930579	0.00317082837891399	0.0103622812960823	0	0	0	0	-6.36072488729471	6.02850519819539	12.1483476485451	0.000491313735298396	0.00356464403818572	SH0907557.09FU_Filobasidium	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	s__Filobasidium_wieringae	SH0907557.09FU_Filobasidium	0.00957021338286682	0.00599436816388184	0
20	SH0907869.09FU_Glomeraceae_gen_Incertae_sedis	0	0	0	0	0.00952743902439024	0.00733214622394469	0	0.00502765208647562	5.79288027069105	5.59143455574915	8.99725923842028	0.00270384802731222	0.014286003009978	SH0907869.09FU_Glomeraceae_gen_Incertae_sedis	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomeraceae_gen_Incertae_sedis	s__Glomeraceae_sp	SH0907869.09FU_Glomeraceae_gen_Incertae_sedis	0	0	0.00547180933370264
21	SH0919365.09FU_Trichophaeopsis	0.000828507278436441	0	0	0	0.38744918699187	0.0104744946056353	0.00199868087062539	0.00502765208647562	8.63275266410914	9.34275816275923	19.9540616378691	7.93252650446069e-06	0.000133719732503766	SH0919365.09FU_Trichophaeopsis	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Trichophaeopsis	s__Trichophaeopsis_sp	SH0919365.09FU_Trichophaeopsis	0.00020712681960911	0.000414253639218221	0.101237503638652
22	SH0921849.09FU_Sporormiella	0.00828507278436441	0.0119422728901219	0.00396353547364249	0.00398549280618548	0.0868055555555556	0.188540902901435	0.0869426178722044	0.185017596782303	4.42870687906279	9.5930455151074	23.0241464138911	1.59979405891412e-06	3.43228543548848e-05	SH0921849.09FU_Sporormiella	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormiella	s__Sporormiella_sp	SH0921849.09FU_Sporormiella	0.00704409348857857	0.00384608315389371	0.136826668277874
23	SH0921865.09FU_Sporormiaceae_gen_Incertae_sedis	0.0861647569573899	0.221391366655337	0.24256837098692	0.0358694352556694	1.40265074525745	0.863098355504347	0.505666260268223	0.53393665158371	2.74738290381118	12.3969856439571	14.1610560599842	0.00016780806394535	0.00155689715865487	SH0921865.09FU_Sporormiaceae_gen_Incertae_sedis	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormiaceae_gen_Incertae_sedis	s__Sporormiaceae_sp	SH0921865.09FU_Sporormiaceae_gen_Incertae_sedis	0.146498482463829	0.10118845800952	0.826338003153433
24	SH0922281.09FU_Claroideoglomus	0	0.000918636376163223	0	0	0.00635162601626016	0.00628469676338117	0.012991425659065	0.0130718954248366	5.01293044747583	6.08870399645885	11.4210705288883	0.000726158422362547	0.00471669874341911	SH0922281.09FU_Claroideoglomus	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus	s__Claroideoglomus_sp	SH0922281.09FU_Claroideoglomus	0.000229659094040806	0.000459318188081612	0.00967491096588574
25	SH0929225.09FU_Xenasmatella	0	0	0.000792707094728498	0	0	0.0282811354352153	0.0299802130593808	0.00603318250377074	5.77390716749888	6.69163693472222	10.395852740921	0.00126298659662762	0.00770857336562376	SH0929225.09FU_Xenasmatella	Basidiomycota	Agaricomycetes	Agaricomycetes_ord_Incertae_sedis	Agaricomycetes_fam_Incertae_sedis	Xenasmatella	s__Xenasmatella_sp	SH0929225.09FU_Xenasmatella	0.000198176773682124	0.000396353547364249	0.0160736327495917
26	SH0929427.09FU_Aaosphaeria	0.00248552183530932	0.0174540911471012	0	0.00478259136742258	0.444613821138211	0.239865926469048	0.547638558551356	0.208144796380091	6.13140781806416	10.9649263844493	32.6632103238708	1.09592026789616e-08	5.9685503820806e-07	SH0929427.09FU_Aaosphaeria	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Aaosphaeria	s__Aaosphaeria_arxii	SH0929427.09FU_Aaosphaeria	0.00618055108745829	0.00776529565382918	0.360065775634676
27	SH0930229.09FU_Rozellomycota_gen_Incertae_sedis	0	0	0	0	0.0338753387533875	0.0387556300408505	0.0559630643775108	0.00804424333836098	8.36977982677361	7.67763896736315	26.0967325925968	3.24733074902485e-07	1.1495550851548e-05	SH0930229.09FU_Rozellomycota_gen_Incertae_sedis	Rozellomycota	Rozellomycota_cls_Incertae_sedis	Rozellomycota_ord_Incertae_sedis	Rozellomycota_fam_Incertae_sedis	Rozellomycota_gen_Incertae_sedis	s__Rozellomycota_sp	SH0930229.09FU_Rozellomycota_gen_Incertae_sedis	0	0	0.0341595691275275
28	SH0932004.09FU_Microbotryomycetes_gen_Incertae_sedis	0.709202230341594	0.00551181825697934	0.011097899326199	0.000797098561237097	0.00317581300813008	0	0	0	-7.49715372847431	9.92173822666923	13.7130037522097	0.000212974740118129	0.00184692139101142	SH0932004.09FU_Microbotryomycetes_gen_Incertae_sedis	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Microbotryomycetes_fam_Incertae_sedis	Microbotryomycetes_gen_Incertae_sedis	s__Microbotryomycetes_sp	SH0932004.09FU_Microbotryomycetes_gen_Incertae_sedis	0.181652261621502	0.351725179550139	0.00079395325203252
29	SH0938719.09FU_Sordariales_gen_Incertae_sedis	0	0.00275590912848967	0.001585414189457	0	0.0359925474254743	0.0303760343563423	0.038974276977195	0.0110608345902464	4.87310982636692	7.51596176034641	14.9854445631054	0.000108343645374263	0.00111170001340549	SH0938719.09FU_Sordariales_gen_Incertae_sedis	Ascomycota	Sordariomycetes	Sordariales	Sordariales_fam_Incertae_sedis	Sordariales_gen_Incertae_sedis	s__Sordariales_sp	SH0938719.09FU_Sordariales_gen_Incertae_sedis	0.00108533082948667	0.00134124335834173	0.0291009233373145
30	SH0938810.09FU_Sordariales_gen_Incertae_sedis	0	0	0	0	0.00105860433604336	0.00418979784225411	0.00399736174125077	0	4.53842895964566	4.92679449596668	6.35504663066543	0.0117047867055643	0.0452840928280848	SH0938810.09FU_Sordariales_gen_Incertae_sedis	Ascomycota	Sordariomycetes	Sordariales	Sordariales_fam_Incertae_sedis	Sordariales_gen_Incertae_sedis	s__Sordariales_sp	SH0938810.09FU_Sordariales_gen_Incertae_sedis	0	0	0.00231144097988706
31	SH0945351.09FU_Lasiosphaeriaceae_gen_Incertae_sedis	0.0654520749964788	0.101968637754118	0.00713436385255648	0.0318839424494839	0.00423441734417344	0.00209489892112706	0.00899406391781424	0.00502765208647562	-3.14896436098171	8.15287188115535	8.87099641721135	0.00289736953538288	0.014641942885834	SH0945351.09FU_Lasiosphaeriaceae_gen_Incertae_sedis	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Lasiosphaeriaceae_gen_Incertae_sedis	s__Lasiosphaeriaceae_sp	SH0945351.09FU_Lasiosphaeriaceae_gen_Incertae_sedis	0.0516097547631592	0.041210010893892	0.00508775806739759
32	SH0946114.09FU_Ascomycota_gen_Incertae_sedis	1.65950007870819	2.69619776403906	2.09908838684106	3.43549479893189	0.450965447154472	0.510107887294438	1.29014850198869	1.34439416792358	-1.3592612097642	13.9773994847399	9.77251266788952	0.00177140200747676	0.0101141340426899	SH0946114.09FU_Ascomycota_gen_Incertae_sedis	Ascomycota	Ascomycota_cls_Incertae_sedis	Ascomycota_ord_Incertae_sedis	Ascomycota_fam_Incertae_sedis	Ascomycota_gen_Incertae_sedis	s__Ascomycota_sp	SH0946114.09FU_Ascomycota_gen_Incertae_sedis	2.47257025713005	0.769806200183772	0.898904001090294
33	SH0947674.09FU_Coniochaeta	0.0339687984158941	0.0220472730279174	0.0396353547364249	0.0207245625921645	1.22162940379404	0.550958416256416	0.167889193132533	0.135746606334842	4.44129831428585	11.6634180715665	24.1829868072133	8.76027405536756e-07	2.29713853007416e-05	SH0947674.09FU_Coniochaeta	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	s__Coniochaeta_sp	SH0947674.09FU_Coniochaeta	0.0290939971931002	0.00921208740039361	0.519055904879457
34	SH0948756.09FU_Kurtzmanomyces	0	0	0	0	0	0.00523724730281764	0.00599604261187616	0.0130718954248366	5.7252987414051	5.56487937730964	9.19435889482564	0.00242762100280617	0.0131144564354573	SH0948756.09FU_Kurtzmanomyces	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Chionosphaeraceae	Kurtzmanomyces	s__Kurtzmanomyces_sp	SH0948756.09FU_Kurtzmanomyces	0	0	0.0060762963348826
35	SH0949748.09FU_Periconia	0.00745656550592797	0.0110236365139587	0.017439556084027	0.0119564784185565	0.0889227642276423	0.116266890122552	0.289808726240681	0.197083961789844	3.93693045040964	9.90365163086108	18.5435173183422	1.66069065561533e-05	0.000239952853913398	SH0949748.09FU_Periconia	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Periconia	s__Periconia_circinata	SH0949748.09FU_Periconia	0.0119690591306175	0.00413049302257135	0.17302058559518
36	SH0954678.09FU_Lobulomycetales_gen_Incertae_sedis	0	0	0	0	0.00423441734417344	0	0.000999340435312694	0.0180995475113122	5.63967053070891	5.51305314628081	7.99515789204201	0.00469026100394209	0.0221843378373919	SH0954678.09FU_Lobulomycetales_gen_Incertae_sedis	Chytridiomycota	Lobulomycetes	Lobulomycetales	Lobulomycetales_fam_Incertae_sedis	Lobulomycetales_gen_Incertae_sedis	s__Lobulomycetales_sp	SH0954678.09FU_Lobulomycetales_gen_Incertae_sedis	0	0	0.00583332632269959
37	SH0956015.09FU_Rhizophagus	0	0	0	0	0.00211720867208672	0.00209489892112706	0.00499670217656347	0.00402212166918049	4.95159535610954	5.12008626823166	8.96093920808941	0.00275813064459449	0.0144347496542774	SH0956015.09FU_Rhizophagus	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	s__Rhizophagus_sp	SH0956015.09FU_Rhizophagus	0	0	0.00330773285973943
38	SH0956573.09FU_Thelebolaceae_gen_Incertae_sedis	0.193870703154127	0.343570004685046	0.230677764565993	0.272607707943087	0.0349339430894309	0.0492301246464858	0.0759498730837647	0.0643539467068879	-2.06433688572835	10.5799265618312	7.84779155013928	0.00508828266634677	0.0233982346753709	SH0956573.09FU_Thelebolaceae_gen_Incertae_sedis	Ascomycota	Leotiomycetes	Thelebolales	Thelebolaceae	Thelebolaceae_gen_Incertae_sedis	s__Thelebolaceae_sp	SH0956573.09FU_Thelebolaceae_gen_Incertae_sedis	0.260181545087063	0.0642278380463878	0.0561169718816423
39	SH0956757.09FU_Pseudeurotiaceae_gen_Incertae_sedis	0.156587875624487	0.143307274681463	0.0959175584621482	0.17855007771711	0.014820460704607	0.0167591913690164	0.00699538304718886	0.0382101558572147	-2.78395495186868	9.64096230680888	10.5964939987848	0.00113302307181032	0.0070366696038746	SH0956757.09FU_Pseudeurotiaceae_gen_Incertae_sedis	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudeurotiaceae_gen_Incertae_sedis	s__Pseudeurotiaceae_sp	SH0956757.09FU_Pseudeurotiaceae_gen_Incertae_sedis	0.143590696621302	0.034947071496672	0.0191962977445068
40	SH0961030.09FU_Articulospora	0.00497104367061865	0	0	0.00797098561237097	0.00741023035230352	0.0104744946056353	0.0199868087062539	0.117647058823529	3.48880531345339	7.73999415878147	6.58129494202992	0.0103055893346028	0.040990771061229	SH0961030.09FU_Articulospora	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Articulospora	s__Articulospora_sp	SH0961030.09FU_Articulospora	0.0032355073207474	0.00393166022257699	0.0388796481219305
41	SH0961373.09FU_Trichoderma	0.118476540816411	0.343570004685046	0.220372572334522	0.764417520226376	2.23259654471545	4.02534827694564	5.60230248036296	4.80241327300151	3.69317516559493	14.5053958861366	52.2694403688292	4.83845699868807e-13	5.70937925845192e-11	SH0961373.09FU_Trichoderma	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	s__Trichoderma_sp	SH0961373.09FU_Trichoderma	0.361709159515589	0.283808145525334	4.16566514375639
42	SH0961471.09FU_Trichoderma	0.00248552183530932	0.00459318188081612	0.000792707094728498	0.000797098561237097	0.128091124661247	0.0481826751859223	0.0109927447884396	0.0110608345902464	4.81592474233583	8.33861461871772	14.7528288328511	0.000122563503423177	0.00122218254117759	SH0961471.09FU_Trichoderma	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	s__Trichoderma_turrialbense	SH0961471.09FU_Trichoderma	0.00216712734302276	0.00180306457223145	0.0495818448064637
43	SH0961575.09FU_Trichoderma	1.2253622648075	0.00367454550465289	0.00317082837891399	0.0581881949703081	0.00952743902439024	0	0	0.00603318250377074	-6.25221535345795	10.7422444469869	12.4266060799679	0.000423260383613046	0.00312154532914621	SH0961575.09FU_Trichoderma	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	s__Trichoderma_sp	SH0961575.09FU_Trichoderma	0.322598958415343	0.602395703449341	0.00389015538204025
44	SH0962319.09FU_Lasiosphaeriaceae_gen_Incertae_sedis	0.365371709790471	0.152493638443095	0.429647245342846	0.259854130963294	0.0370511517615176	0.0607520687126846	0.0939380009193932	0.0904977375565611	-2.02662382308163	10.8609276961475	7.50695553799222	0.00614611721584886	0.0268608085729691	SH0962319.09FU_Lasiosphaeriaceae_gen_Incertae_sedis	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Lasiosphaeriaceae_gen_Incertae_sedis	s__Lasiosphaeriaceae_sp	SH0962319.09FU_Lasiosphaeriaceae_gen_Incertae_sedis	0.301841681134926	0.12170746212233	0.0705597397375391
45	SH0962352.09FU_Sordariales_gen_Incertae_sedis	0.00662805822749153	0.0137795456424484	0.0713436385255648	0.259057032402057	0	0.00733214622394469	0	0.00100553041729512	-5.06698356219314	8.77878707079465	11.751770944986	0.000607853742945871	0.00413808125005458	SH0962352.09FU_Sordariales_gen_Incertae_sedis	Ascomycota	Sordariomycetes	Sordariales	Sordariales_fam_Incertae_sedis	Sordariales_gen_Incertae_sedis	s__Sordariales_sp	SH0962352.09FU_Sordariales_gen_Incertae_sedis	0.0877020686993903	0.117852529901279	0.00208441916030995
46	SH0965384.09FU_Sordariales_gen_Incertae_sedis	0.0405968566433856	0.0404200005511818	0.01585414189457	0.0510143079191742	0	0.00104744946056353	0	0	-6.47237682731996	7.6064096133029	21.3379241234288	3.85038494335496e-06	7.17387510498766e-05	SH0965384.09FU_Sordariales_gen_Incertae_sedis	Ascomycota	Sordariomycetes	Sordariales	Sordariales_fam_Incertae_sedis	Sordariales_gen_Incertae_sedis	s__Sordariales_sp	SH0965384.09FU_Sordariales_gen_Incertae_sedis	0.0369713267520779	0.0149240145886976	0.000261862365140882
47	SH0965526.09FU_Schizothecium	0.000828507278436441	0.000918636376163223	0.000792707094728498	0	0.00423441734417344	0.0157117419084529	0.00599604261187616	0.0191050779286073	4.03042443195483	6.29473706096067	8.94907097821742	0.00277610731481166	0.0144347496542774	SH0965526.09FU_Schizothecium	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	s__Schizothecium_sp	SH0965526.09FU_Schizothecium	0.000634962687332041	0.000426611135520256	0.0112618199482775
48	SH0965553.09FU_Sordariales_gen_Incertae_sedis	0.371171260739526	0.128609092662851	0.0483551327784384	0.109202502889482	0.00211720867208672	0.00418979784225411	0.00499670217656347	0.0211161387631976	-4.33928012683954	9.75513058803853	16.8033471814015	4.14601087730977e-05	0.000524174232345593	SH0965553.09FU_Sordariales_gen_Incertae_sedis	Ascomycota	Sordariomycetes	Sordariales	Sordariales_fam_Incertae_sedis	Sordariales_gen_Incertae_sedis	s__Sordariales_sp	SH0965553.09FU_Sordariales_gen_Incertae_sedis	0.164334497267574	0.142066300307442	0.00810496186352547
49	SH0968821.09FU_Sordariales_gen_Incertae_sedis	0.0530244658199322	0.0909450012401591	0.0768925881886643	0.0693475748276274	1.09671409214092	1.95244579449042	2.39741770431515	1.24082453494218	4.69920819610981	13.1772904643046	70.7676212571154	4.0187888474744e-17	1.42265125200594e-14	SH0968821.09FU_Sordariales_gen_Incertae_sedis	Ascomycota	Sordariomycetes	Sordariales	Sordariales_fam_Incertae_sedis	Sordariales_gen_Incertae_sedis	s__Sordariales_sp	SH0968821.09FU_Sordariales_gen_Incertae_sedis	0.0725524075190958	0.0157980603410548	1.67185053147217
50	SH0968845.09FU_Sordariales_gen_Incertae_sedis	0	0	0.001585414189457	0	0.0137618563685637	0.00942704514507175	0.00699538304718886	0.0191050779286073	4.67464811577099	6.39583560717043	9.97335876007502	0.00158821502804764	0.00931602844872266	SH0968845.09FU_Sordariales_gen_Incertae_sedis	Ascomycota	Sordariomycetes	Sordariales	Sordariales_fam_Incertae_sedis	Sordariales_gen_Incertae_sedis	s__Sordariales_sp	SH0968845.09FU_Sordariales_gen_Incertae_sedis	0.000396353547364249	0.000792707094728498	0.0123223406223579
51	SH0968939.09FU_Nectriaceae_gen_Incertae_sedis	0.12096206265172	0.0523622734413037	0.0562822037257233	0.126738671236698	0.424500338753388	0.327851681156384	0.491675494173845	0.61035696329814	2.49672187918697	11.4856391862997	13.5161607620076	0.000236517791109832	0.00190254426253217	SH0968939.09FU_Nectriaceae_gen_Incertae_sedis	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectriaceae_gen_Incertae_sedis	s__Nectriaceae_sp	SH0968939.09FU_Nectriaceae_gen_Incertae_sedis	0.0890863027638615	0.0402431284545605	0.463596119345439
52	SH0970245.09FU_Fusarium	0.0911358006280085	0.146063183809953	0.107808164883076	0.20326013311546	0.0275237127371274	0.0146642924478894	0.0209861491415666	0.0432378079436903	-2.21291837312958	9.64146725432147	7.37433620497537	0.00661612075260053	0.0283405756670899	SH0970245.09FU_Fusarium	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	s__Fusarium_solani	SH0970245.09FU_Fusarium	0.137066820609124	0.0497601470482946	0.0266029905675684
53	SH0970644.09FU_Hypocreales_gen_Incertae_sedis	0	0	0	0.000797098561237097	0.011644647696477	0.00942704514507175	0.00799472348250155	0.00100553041729512	4.83082294222412	5.92867048892216	8.92589970619392	0.00281154824001464	0.0144347496542774	SH0970644.09FU_Hypocreales_gen_Incertae_sedis	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Hypocreales_gen_Incertae_sedis	s__Hypocreales_sp	SH0970644.09FU_Hypocreales_gen_Incertae_sedis	0.000199274640309274	0.000398549280618548	0.00751798668533635
